Barcode,CS2
s_008um_00547_00611-1,
s_008um_00518_00375-1,
s_008um_00433_00599-1,
s_008um_00660_00606-1,
s_008um_00553_00614-1,
s_008um_00344_00601-1,
s_008um_00441_00601-1,
s_008um_00183_00231-1,
s_008um_00500_00378-1,
s_008um_00545_00375-1,
s_008um_00250_00602-1,
s_008um_00235_00397-1,
s_008um_00263_00382-1,
s_008um_00530_00205-1,
s_008um_00162_00410-1,
s_008um_00499_00603-1,
s_008um_00339_00204-1,
s_008um_00628_00615-1,
s_008um_00399_00610-1,
s_008um_00480_00589-1,
s_008um_00132_00252-1,
s_008um_00691_00415-1,
s_008um_00647_00211-1,
s_008um_00654_00622-1,
s_008um_00154_00406-1,
s_008um_00288_00370-1,
s_008um_00497_00390-1,
s_008um_00698_00606-1,
s_008um_00660_00415-1,
s_008um_00324_00214-1,
s_008um_00163_00234-1,
s_008um_00350_00376-1,
s_008um_00153_00229-1,
s_008um_00675_00219-1,
s_008um_00509_00211-1,
s_008um_00635_00418-1,
s_008um_00376_00610-1,
s_008um_00474_00205-1,
s_008um_00449_00601-1,
s_008um_00570_00203-1,
s_008um_00183_00407-1,
s_008um_00370_00389-1,
s_008um_00244_00372-1,
s_008um_00626_00200-1,
s_008um_00416_00216-1,
s_008um_00451_00389-1,
s_008um_00454_00217-1,CS2
s_008um_00505_00384-1,
s_008um_00263_00221-1,
s_008um_00169_00240-1,
s_008um_00454_00390-1,
s_008um_00694_00411-1,
s_008um_00406_00380-1,
s_008um_00369_00380-1,
s_008um_00535_00206-1,
s_008um_00574_00418-1,
s_008um_00627_00411-1,
s_008um_00187_00231-1,
s_008um_00417_00609-1,
s_008um_00311_00605-1,
s_008um_00164_00406-1,
s_008um_00649_00231-1,
s_008um_00535_00198-1,
s_008um_00648_00606-1,
s_008um_00157_00229-1,
s_008um_00519_00597-1,
s_008um_00654_00399-1,
s_008um_00573_00210-1,
s_008um_00580_00192-1,
s_008um_00462_00217-1,CS2
s_008um_00615_00216-1,
s_008um_00257_00217-1,
s_008um_00508_00599-1,
s_008um_00682_00207-1,
s_008um_00403_00601-1,
s_008um_00536_00212-1,
s_008um_00232_00604-1,
s_008um_00592_00412-1,
s_008um_00650_00596-1,
s_008um_00651_00219-1,
s_008um_00601_00195-1,
s_008um_00549_00608-1,
s_008um_00292_00209-1,
s_008um_00475_00599-1,
s_008um_00660_00605-1,
s_008um_00537_00598-1,
s_008um_00604_00202-1,
s_008um_00244_00593-1,
s_008um_00655_00222-1,
s_008um_00325_00206-1,
s_008um_00627_00197-1,
s_008um_00355_00599-1,
s_008um_00528_00207-1,
s_008um_00311_00384-1,
s_008um_00567_00192-1,
s_008um_00653_00222-1,
s_008um_00448_00605-1,
s_008um_00370_00368-1,
s_008um_00502_00199-1,
s_008um_00216_00224-1,
s_008um_00626_00405-1,
s_008um_00667_00420-1,
s_008um_00172_00231-1,
s_008um_00473_00211-1,
s_008um_00307_00387-1,
s_008um_00634_00609-1,
s_008um_00595_00213-1,
s_008um_00553_00595-1,
s_008um_00674_00219-1,
s_008um_00360_00599-1,
s_008um_00441_00604-1,
s_008um_00520_00208-1,
s_008um_00365_00608-1,
s_008um_00450_00604-1,
s_008um_00380_00614-1,
s_008um_00567_00384-1,
s_008um_00448_00374-1,
s_008um_00527_00593-1,
s_008um_00193_00393-1,
s_008um_00436_00212-1,CS2
s_008um_00571_00205-1,
s_008um_00341_00600-1,
s_008um_00578_00606-1,
s_008um_00531_00382-1,
s_008um_00543_00215-1,
s_008um_00591_00386-1,
s_008um_00535_00610-1,
s_008um_00409_00393-1,
s_008um_00370_00384-1,
s_008um_00350_00380-1,
s_008um_00636_00399-1,
s_008um_00115_00238-1,
s_008um_00640_00615-1,
s_008um_00240_00222-1,
s_008um_00314_00389-1,
s_008um_00652_00223-1,
s_008um_00522_00603-1,
s_008um_00671_00601-1,
s_008um_00618_00615-1,
s_008um_00692_00206-1,
s_008um_00590_00379-1,
s_008um_00649_00404-1,
s_008um_00358_00370-1,
s_008um_00623_00211-1,
s_008um_00646_00418-1,
s_008um_00670_00614-1,
s_008um_00652_00404-1,
s_008um_00695_00419-1,
s_008um_00712_00602-1,
s_008um_00470_00376-1,
s_008um_00668_00407-1,
s_008um_00700_00613-1,
s_008um_00317_00385-1,
s_008um_00367_00383-1,
s_008um_00306_00373-1,
s_008um_00317_00369-1,
s_008um_00566_00214-1,
s_008um_00343_00369-1,
s_008um_00606_00198-1,
s_008um_00586_00209-1,
s_008um_00142_00240-1,
s_008um_00518_00608-1,
s_008um_00703_00603-1,
s_008um_00538_00368-1,
s_008um_00375_00609-1,
s_008um_00654_00206-1,
s_008um_00491_00199-1,
s_008um_00629_00607-1,
s_008um_00569_00603-1,
s_008um_00639_00613-1,
s_008um_00294_00369-1,
s_008um_00712_00414-1,
s_008um_00639_00607-1,
s_008um_00554_00215-1,
s_008um_00565_00219-1,
s_008um_00253_00218-1,
s_008um_00664_00419-1,
s_008um_00581_00384-1,
s_008um_00373_00600-1,
s_008um_00284_00603-1,
s_008um_00276_00375-1,
s_008um_00619_00211-1,
s_008um_00645_00214-1,
s_008um_00381_00376-1,
s_008um_00394_00389-1,
s_008um_00148_00234-1,
s_008um_00665_00601-1,
s_008um_00263_00213-1,
s_008um_00608_00606-1,
s_008um_00422_00212-1,CS2
s_008um_00695_00605-1,
s_008um_00116_00243-1,
s_008um_00178_00406-1,
s_008um_00167_00231-1,
s_008um_00460_00604-1,
s_008um_00549_00613-1,
s_008um_00227_00384-1,
s_008um_00598_00621-1,
s_008um_00378_00376-1,
s_008um_00561_00385-1,
s_008um_00567_00199-1,
s_008um_00339_00370-1,
s_008um_00683_00205-1,
s_008um_00255_00599-1,
s_008um_00629_00609-1,
s_008um_00660_00416-1,
s_008um_00206_00230-1,
s_008um_00220_00216-1,
s_008um_00674_00408-1,
s_008um_00305_00207-1,
s_008um_00676_00618-1,
s_008um_00601_00609-1,
s_008um_00465_00206-1,
s_008um_00330_00374-1,
s_008um_00544_00388-1,
s_008um_00543_00385-1,
s_008um_00610_00214-1,
s_008um_00666_00218-1,
s_008um_00488_00587-1,
s_008um_00545_00211-1,
s_008um_00686_00617-1,
s_008um_00688_00423-1,
s_008um_00564_00207-1,
s_008um_00645_00212-1,
s_008um_00259_00219-1,
s_008um_00677_00203-1,
s_008um_00400_00378-1,
s_008um_00620_00413-1,
s_008um_00716_00610-1,
s_008um_00110_00228-1,
s_008um_00526_00203-1,
s_008um_00198_00234-1,
s_008um_00131_00237-1,
s_008um_00366_00373-1,
s_008um_00124_00247-1,
s_008um_00684_00602-1,
s_008um_00160_00406-1,
s_008um_00496_00208-1,
s_008um_00192_00218-1,
s_008um_00560_00612-1,
s_008um_00594_00192-1,
s_008um_00620_00405-1,
s_008um_00643_00401-1,
s_008um_00460_00605-1,
s_008um_00348_00610-1,
s_008um_00705_00208-1,
s_008um_00651_00404-1,
s_008um_00670_00609-1,
s_008um_00437_00216-1,CS2
s_008um_00305_00388-1,
s_008um_00390_00609-1,
s_008um_00403_00598-1,
s_008um_00637_00409-1,
s_008um_00624_00415-1,
s_008um_00400_00391-1,
s_008um_00679_00411-1,
s_008um_00409_00379-1,
s_008um_00502_00372-1,
s_008um_00348_00375-1,
s_008um_00356_00606-1,
s_008um_00271_00219-1,
s_008um_00350_00207-1,
s_008um_00717_00600-1,
s_008um_00602_00607-1,
s_008um_00209_00394-1,
s_008um_00231_00601-1,
s_008um_00543_00211-1,
s_008um_00471_00600-1,
s_008um_00385_00605-1,
s_008um_00413_00380-1,
s_008um_00375_00610-1,
s_008um_00451_00385-1,
s_008um_00322_00389-1,
s_008um_00410_00608-1,
s_008um_00424_00212-1,CS2
s_008um_00533_00375-1,
s_008um_00675_00619-1,
s_008um_00714_00620-1,
s_008um_00496_00213-1,
s_008um_00431_00388-1,
s_008um_00507_00599-1,
s_008um_00653_00404-1,
s_008um_00675_00210-1,
s_008um_00509_00378-1,
s_008um_00329_00606-1,
s_008um_00536_00379-1,
s_008um_00435_00377-1,
s_008um_00562_00617-1,
s_008um_00115_00237-1,
s_008um_00534_00383-1,
s_008um_00619_00623-1,
s_008um_00388_00384-1,
s_008um_00675_00612-1,
s_008um_00283_00214-1,
s_008um_00582_00613-1,
s_008um_00217_00385-1,
s_008um_00647_00402-1,
s_008um_00512_00204-1,
s_008um_00523_00211-1,
s_008um_00234_00600-1,
s_008um_00266_00223-1,
s_008um_00284_00372-1,
s_008um_00477_00391-1,
s_008um_00122_00239-1,
s_008um_00332_00608-1,
s_008um_00464_00597-1,
s_008um_00239_00592-1,
s_008um_00640_00414-1,
s_008um_00396_00606-1,
s_008um_00290_00371-1,
s_008um_00146_00229-1,
s_008um_00228_00597-1,
s_008um_00408_00376-1,
s_008um_00561_00597-1,
s_008um_00194_00398-1,
s_008um_00347_00383-1,
s_008um_00375_00382-1,
s_008um_00404_00611-1,
s_008um_00548_00209-1,
s_008um_00507_00374-1,
s_008um_00374_00375-1,
s_008um_00421_00214-1,CS2
s_008um_00259_00385-1,
s_008um_00407_00212-1,
s_008um_00617_00199-1,
s_008um_00529_00605-1,
s_008um_00521_00210-1,
s_008um_00558_00386-1,
s_008um_00245_00379-1,
s_008um_00516_00392-1,
s_008um_00287_00220-1,
s_008um_00284_00374-1,
s_008um_00505_00203-1,
s_008um_00592_00220-1,
s_008um_00112_00239-1,
s_008um_00701_00206-1,
s_008um_00672_00596-1,
s_008um_00630_00415-1,
s_008um_00616_00205-1,
s_008um_00198_00221-1,
s_008um_00299_00601-1,
s_008um_00458_00374-1,
s_008um_00671_00411-1,
s_008um_00624_00223-1,
s_008um_00592_00620-1,
s_008um_00238_00218-1,
s_008um_00354_00601-1,
s_008um_00583_00616-1,
s_008um_00663_00420-1,
s_008um_00501_00605-1,
s_008um_00174_00234-1,
s_008um_00583_00388-1,
s_008um_00596_00219-1,
s_008um_00336_00212-1,
s_008um_00572_00213-1,
s_008um_00655_00210-1,
s_008um_00631_00212-1,
s_008um_00631_00604-1,
s_008um_00639_00208-1,
s_008um_00630_00416-1,
s_008um_00187_00229-1,
s_008um_00178_00402-1,
s_008um_00333_00369-1,
s_008um_00662_00605-1,
s_008um_00427_00599-1,
s_008um_00627_00412-1,
s_008um_00270_00213-1,
s_008um_00401_00384-1,
s_008um_00269_00598-1,
s_008um_00674_00418-1,
s_008um_00525_00198-1,
s_008um_00474_00377-1,
s_008um_00574_00601-1,
s_008um_00636_00206-1,
s_008um_00711_00422-1,
s_008um_00330_00206-1,
s_008um_00372_00602-1,
s_008um_00485_00601-1,
s_008um_00618_00412-1,
s_008um_00495_00372-1,
s_008um_00527_00214-1,
s_008um_00286_00387-1,
s_008um_00466_00390-1,
s_008um_00548_00597-1,
s_008um_00268_00607-1,
s_008um_00277_00381-1,
s_008um_00705_00596-1,
s_008um_00654_00411-1,
s_008um_00426_00206-1,CS2
s_008um_00234_00586-1,
s_008um_00531_00215-1,
s_008um_00376_00387-1,
s_008um_00260_00215-1,
s_008um_00544_00208-1,
s_008um_00233_00591-1,
s_008um_00718_00616-1,
s_008um_00592_00378-1,
s_008um_00239_00220-1,
s_008um_00634_00620-1,
s_008um_00576_00419-1,
s_008um_00150_00234-1,
s_008um_00471_00385-1,
s_008um_00644_00617-1,
s_008um_00447_00222-1,CS2
s_008um_00264_00608-1,
s_008um_00513_00370-1,
s_008um_00249_00374-1,
s_008um_00235_00218-1,
s_008um_00548_00598-1,
s_008um_00644_00226-1,
s_008um_00353_00373-1,
s_008um_00544_00598-1,
s_008um_00699_00596-1,
s_008um_00364_00374-1,
s_008um_00403_00383-1,
s_008um_00487_00595-1,
s_008um_00219_00399-1,
s_008um_00389_00210-1,
s_008um_00436_00379-1,
s_008um_00272_00215-1,
s_008um_00700_00607-1,
s_008um_00333_00602-1,
s_008um_00700_00209-1,
s_008um_00624_00225-1,
s_008um_00162_00241-1,
s_008um_00408_00209-1,
s_008um_00549_00215-1,
s_008um_00359_00602-1,
s_008um_00387_00371-1,
s_008um_00710_00600-1,
s_008um_00192_00232-1,
s_008um_00350_00210-1,
s_008um_00654_00225-1,
s_008um_00576_00224-1,
s_008um_00569_00209-1,
s_008um_00187_00220-1,
s_008um_00647_00404-1,
s_008um_00681_00613-1,
s_008um_00494_00212-1,
s_008um_00394_00385-1,
s_008um_00286_00373-1,
s_008um_00359_00610-1,
s_008um_00142_00238-1,
s_008um_00381_00375-1,
s_008um_00239_00604-1,
s_008um_00551_00614-1,
s_008um_00266_00384-1,
s_008um_00446_00597-1,
s_008um_00306_00610-1,
s_008um_00221_00390-1,
s_008um_00345_00375-1,
s_008um_00592_00608-1,
s_008um_00615_00220-1,
s_008um_00673_00411-1,
s_008um_00234_00603-1,
s_008um_00474_00590-1,
s_008um_00605_00606-1,
s_008um_00125_00233-1,
s_008um_00223_00220-1,
s_008um_00297_00216-1,
s_008um_00440_00387-1,
s_008um_00650_00415-1,
s_008um_00548_00606-1,
s_008um_00583_00198-1,
s_008um_00498_00204-1,
s_008um_00559_00203-1,
s_008um_00240_00393-1,
s_008um_00696_00605-1,
s_008um_00352_00205-1,
s_008um_00264_00369-1,
s_008um_00221_00224-1,
s_008um_00668_00603-1,
s_008um_00205_00397-1,
s_008um_00119_00228-1,
s_008um_00534_00370-1,
s_008um_00507_00384-1,
s_008um_00663_00202-1,
s_008um_00649_00230-1,
s_008um_00642_00225-1,
s_008um_00602_00225-1,
s_008um_00261_00371-1,
s_008um_00583_00603-1,
s_008um_00638_00410-1,
s_008um_00654_00216-1,
s_008um_00456_00382-1,
s_008um_00488_00603-1,
s_008um_00611_00416-1,
s_008um_00702_00416-1,
s_008um_00355_00393-1,
s_008um_00666_00405-1,
s_008um_00527_00382-1,
s_008um_00172_00230-1,
s_008um_00331_00609-1,
s_008um_00604_00394-1,
s_008um_00275_00603-1,
s_008um_00229_00220-1,
s_008um_00521_00209-1,
s_008um_00534_00213-1,
s_008um_00575_00387-1,
s_008um_00633_00617-1,
s_008um_00719_00602-1,
s_008um_00544_00371-1,
s_008um_00570_00195-1,
s_008um_00226_00222-1,
s_008um_00405_00389-1,
s_008um_00660_00212-1,
s_008um_00221_00213-1,
s_008um_00671_00224-1,
s_008um_00150_00237-1,
s_008um_00580_00609-1,
s_008um_00343_00607-1,
s_008um_00330_00208-1,
s_008um_00557_00598-1,
s_008um_00165_00411-1,
s_008um_00279_00369-1,
s_008um_00376_00209-1,
s_008um_00399_00378-1,
s_008um_00661_00219-1,
s_008um_00233_00387-1,
s_008um_00648_00416-1,
s_008um_00582_00201-1,
s_008um_00167_00225-1,
s_008um_00166_00408-1,
s_008um_00272_00370-1,
s_008um_00509_00606-1,
s_008um_00597_00209-1,
s_008um_00429_00395-1,
s_008um_00343_00598-1,
s_008um_00658_00408-1,
s_008um_00391_00608-1,
s_008um_00471_00383-1,
s_008um_00625_00202-1,
s_008um_00672_00410-1,
s_008um_00555_00391-1,
s_008um_00529_00209-1,
s_008um_00645_00408-1,
s_008um_00269_00372-1,
s_008um_00232_00381-1,
s_008um_00421_00395-1,
s_008um_00495_00597-1,
s_008um_00704_00211-1,
s_008um_00552_00372-1,
s_008um_00222_00214-1,
s_008um_00705_00203-1,
s_008um_00218_00212-1,
s_008um_00464_00384-1,
s_008um_00506_00596-1,
s_008um_00466_00212-1,
s_008um_00461_00379-1,
s_008um_00235_00592-1,
s_008um_00285_00600-1,
s_008um_00237_00598-1,
s_008um_00656_00598-1,
s_008um_00526_00592-1,
s_008um_00680_00208-1,
s_008um_00541_00214-1,
s_008um_00445_00377-1,
s_008um_00513_00376-1,
s_008um_00259_00608-1,
s_008um_00648_00216-1,
s_008um_00598_00225-1,
s_008um_00357_00206-1,
s_008um_00387_00370-1,
s_008um_00478_00214-1,
s_008um_00452_00209-1,
s_008um_00390_00377-1,
s_008um_00131_00250-1,
s_008um_00298_00387-1,
s_008um_00457_00210-1,
s_008um_00556_00197-1,
s_008um_00636_00199-1,
s_008um_00560_00384-1,
s_008um_00687_00616-1,
s_008um_00240_00381-1,
s_008um_00601_00219-1,
s_008um_00304_00379-1,
s_008um_00601_00193-1,
s_008um_00276_00215-1,
s_008um_00179_00232-1,
s_008um_00597_00390-1,
s_008um_00447_00373-1,
s_008um_00542_00600-1,
s_008um_00626_00218-1,
s_008um_00634_00194-1,
s_008um_00650_00421-1,
s_008um_00266_00388-1,
s_008um_00650_00399-1,
s_008um_00395_00379-1,
s_008um_00642_00602-1,
s_008um_00560_00201-1,
s_008um_00510_00594-1,
s_008um_00208_00390-1,
s_008um_00214_00225-1,
s_008um_00448_00211-1,CS2
s_008um_00701_00413-1,
s_008um_00218_00389-1,
s_008um_00128_00232-1,
s_008um_00602_00210-1,
s_008um_00653_00598-1,
s_008um_00561_00375-1,
s_008um_00701_00607-1,
s_008um_00299_00609-1,
s_008um_00118_00233-1,
s_008um_00618_00600-1,
s_008um_00702_00604-1,
s_008um_00409_00211-1,
s_008um_00640_00609-1,
s_008um_00483_00596-1,
s_008um_00308_00379-1,
s_008um_00619_00601-1,
s_008um_00385_00373-1,
s_008um_00607_00598-1,
s_008um_00517_00381-1,
s_008um_00345_00372-1,
s_008um_00595_00388-1,
s_008um_00709_00418-1,
s_008um_00540_00611-1,
s_008um_00599_00225-1,
