group,names,scores,logfoldchanges,pvals,pvals_adj
0,Myh11,-0.06735867,0.68962324,0.9462961714004157,0.9462961714004157
0,Slc6a13,-0.09330732,1.1241544,0.9256594196220833,0.9261425404047671
0,Adamts18,-0.093699366,,0.9253479753768719,0.9261425404047671
0,Gpr132,-0.15357238,1.7430737,0.8779469194581739,0.8793230118084219
0,Sox10,-0.15362138,1.3623128,0.8779082768991125,0.8793230118084219
0,Aplnr,-0.1599554,1.6993843,0.8729162074641424,0.8751989381321972
0,Akt3,-0.16037194,0.98111874,0.8725880839217344,0.8751989381321972
0,Gpihbp1,-0.17328502,1.943647,0.8624274005666059,0.865588129259782
0,Snx29,-0.19349997,1.8640665,0.8465674308672707,0.8501151204675527
0,Stmn2,-0.19353673,1.7138807,0.8465386490602005,0.8501151204675527
0,Sntb1,-0.19357347,2.3035674,0.8465098674578642,0.8501151204675527
0,Dach1,-0.19994424,2.1914313,0.8415241827044218,0.8463808280400716
0,Slc35f1,-0.21327387,2.0234063,0.8311133560956775,0.8363487158191149
0,Dbndd2,-0.21359241,2.0770009,0.8308649225079421,0.8363487158191149
0,Med21,-0.22028172,-0.4159293,0.8256517585821204,0.8317259176047949
0,Camta1,-0.22045323,0.79097515,0.8255181876997505,0.8317259176047949
0,Pparg,-0.22660348,1.9385687,0.8207320835313657,0.8276398759230027
0,Snap25,-0.22660348,1.9194329,0.8207320835313657,0.8276398759230027
0,Ifrd2,-0.22675051,0.38896072,0.8206177555560177,0.8276398759230027
0,Nup205,-0.22675051,0.45771042,0.8206177555560177,0.8276398759230027
0,Ndst3,-0.2399331,2.921291,0.8103821202180334,0.8189259485809014
0,Rrp7a,-0.24017812,1.7683241,0.8101921675743893,0.8189259485809014
0,Efcab11,-0.24676943,2.6436477,0.8050866710325629,0.8144333236777959
0,Ppp1cb,-0.25282165,-0.028887909,0.8004060267165997,0.810125846470814
0,Asb4,-0.25326273,2.408027,0.8000652049605931,0.810125846470814
0,Sgcz,-0.26009905,2.4864373,0.794787374044155,0.8052893213756053
0,Ctnna2,-0.27345318,3.0960083,0.7845048894348232,0.7952913130864919
0,Heatr1,-0.27962792,-0.2966061,0.7797629886637785,0.7909024599304039
0,Rapgef5,-0.28674603,2.1249814,0.774306791915458,0.7857840762847713
0,Slc9b2,-0.29325157,2.5710845,0.7693298712923149,0.7811469085102583
0,Aopep,-0.29325157,3.7391412,0.7693298712923149,0.7811469085102583
0,Garem1,-0.29325157,0.58384967,0.7693298712923149,0.7811469085102583
0,Cp,-0.29344758,2.0384068,0.769180053834037,0.7811469085102583
0,Flt1,-0.3001124,2.3889132,0.7640914221375235,0.7774751890857922
0,Mctp1,-0.30658117,3.7133412,0.7591621779925806,0.7728698328262225
0,Chchd3,-0.3068017,1.2927111,0.7589943066598493,0.7728698328262225
0,2210408I21Rik,-0.31328276,1.5154997,0.7540658575597605,0.7684977400010957
0,Polq,-0.31338075,1.93618,0.7539914015094237,0.7684977400010957
0,Hdc,-0.31342977,0.89055854,0.753954174341797,0.7684977400010957
0,Tll1,-0.3199108,4.6653905,0.7490359506870246,0.7645910103658285
0,Blnk,-0.3199108,2.833084,0.7490359506870246,0.7645910103658285
0,Wdfy4,-0.3199108,4.043134,0.7490359506870246,0.7645910103658285
0,Gab3,-0.3199108,3.1186194,0.7490359506870246,0.7645910103658285
0,H2-Aa,-0.32672262,1.7222979,0.7438776855429379,0.760946383770444
0,Scn7a,-0.33324042,4.096722,0.738952811960013,0.756312087841615
0,Ccl24,-0.33324042,3.313749,0.738952811960013,0.756312087841615
0,Rufy4,-0.33324042,2.8173394,0.738952811960013,0.756312087841615
0,Pop5,-0.3344533,,0.7380375147739795,0.756312087841615
0,Gfra1,-0.34002775,2.8603702,0.7338356379805331,0.7526821391164698
0,Opcml,-0.34657004,,0.7289143622138949,0.748034706832996
0,Thada,-0.34659454,2.6376731,0.7288959513040452,0.748034706832996
0,Micu1,-0.34664354,1.704248,0.7288591299534224,0.748034706832996
0,Cpa3,-0.35254875,-0.56141627,0.7244267587529334,0.7446252528307632
0,Hdac9,-0.3532961,3.1202204,0.723866469822151,0.7444485100048623
0,Rasgrp4,-0.3533206,3.5569298,0.7238481021961165,0.7444485100048623
0,Rfx3,-0.3596546,1.5230948,0.7191054320317418,0.7403464625160306
0,Ankrd55,-0.35989964,3.7168136,0.718922178914231,0.7403464625160306
0,Gm40383,-0.36002216,2.4908328,0.7188305584147522,0.7403464625160306
0,Rasip1,-0.3602182,3.0728433,0.7186839740216006,0.7403464625160306
0,Scin,-0.36665022,4.6546283,0.7138799440053817,0.7365488980938195
0,Shtn1,-0.36666247,3.3698375,0.7138708042151228,0.7365488980938195
0,Macrod2,-0.37303326,1.0717666,0.7091237026766262,0.7324300312667524
0,Thsd1,-0.37322927,3.04516,0.7089778158546295,0.7324300312667524
0,Slc47a1,-0.37322927,4.7186265,0.7089778158546295,0.7324300312667524
0,Veph1,-0.37335178,1.8734274,0.7088866420104345,0.7324300312667524
0,Csnk1d,-0.37995532,,0.7039785726600233,0.7286862439466871
0,Arnt2,-0.37996757,3.698465,0.7039694781537933,0.7286862439466871
0,Clec10a,-0.37997985,3.6375468,0.7039603836898998,0.7286862439466871
0,Mbd5,-0.3865589,,0.6990828024417532,0.7247927162146247
0,Atp1a2,-0.3865589,4.0035954,0.6990828024417532,0.7247927162146247
0,Tnip1,-0.3865834,2.9886587,0.6990646594485915,0.7247927162146247
0,Aim2,-0.39326045,3.6167512,0.6941271291571112,0.7208243264323847
0,Nlgn1,-0.399864,3.6146066,0.689256691320006,0.7161545134202989
0,Hs3st5,-0.3998885,3.7743437,0.6892386430010364,0.7161545134202989
0,Slc17a9,-0.3999375,1.9661256,0.6892025468936408,0.7161545134202989
0,Zfp64,-0.40636954,1.8962315,0.6844711000878698,0.7123404445539883
0,Zc3h12b,-0.40640628,1.8742857,0.6844440985831266,0.7123404445539883
0,Morrbid,-0.40660232,3.1521933,0.684300097370284,0.7123404445539883
0,Tenm4,-0.4131936,2.7824302,0.6794647668826216,0.7082838271419172
0,Trmt2a,-0.4132181,3.0129588,0.6794468161036251,0.7082838271419172
0,Id3,-0.41893956,0.38275978,0.6752603041163424,0.7046673941159654
0,Cdh6,-0.4196379,2.1062417,0.6747500006363789,0.7045183830173957
0,Slc24a3,-0.41990742,3.713823,0.6745530813792893,0.7045183830173957
0,Dock2,-0.4332493,2.8941445,0.6648336695784185,0.6949215619312041
0,Ccdc138,-0.43975484,3.1188009,0.6601146825531123,0.6903654372363973
0,Ube4b,-0.43975484,2.4560716,0.6601146825531123,0.6903654372363973
0,Cttnbp2,-0.43982834,3.4147575,0.6600614373870122,0.6903654372363973
0,Slc4a10,-0.43987736,5.0074725,0.6600259415659633,0.6903654372363973
0,Cdkal1,-0.44656667,2.7575693,0.6551879716178752,0.6867115044239841
0,Itgb1bp1,-0.45207983,2.1833549,0.6512114738321217,0.6829170652823727
0,Nell1,-0.45320696,2.8289068,0.6503997165457688,0.6824391114495012
0,Gab2,-0.45982277,4.3587036,0.645643438782807,0.6778195356772404
0,Col23a1,-0.45985952,3.65464,0.6456170552192473,0.6778195356772404
0,St6galnac5,-0.46638957,4.6323895,0.6409366791995739,0.6736160164613942
0,Lvrn,-0.46641406,4.5529447,0.6409191435184204,0.6736160164613942
0,Ints6,-0.4664631,2.934652,0.6408840727573393,0.6736160164613942
0,Syndig1,-0.46653658,4.4859276,0.640831468118906,0.6736160164613942
0,Lyn,-0.46653658,3.8402529,0.640831468118906,0.6736160164613942
0,Lipi,-0.46653658,2.0438058,0.640831468118906,0.6736160164613942
0,Fads3,-0.4714004,0.65881413,0.6373548139716245,0.672062254336416
0,Snd1,-0.47228253,0.9633644,0.6367251383633047,0.6717677987025069
0,Sh3rf3,-0.4798662,4.8177814,0.6313225367648223,0.666434638203835
0,Msr1,-0.48646975,,0.626634147289578,0.6618499506083312
0,Xrcc4,-0.49938282,2.4526489,0.6175097220970442,0.652572291764076
0,Gm15675,-0.49981162,,0.6172077286735205,0.652572291764076
0,Gm26760,-0.49981162,3.6714773,0.6172077286735205,0.652572291764076
0,Rasgrp3,-0.50652546,5.347701,0.612487840073692,0.6483374872563596
0,Gm4258,-0.50652546,2.866019,0.612487840073692,0.6483374872563596
0,Scrg1,-0.51285946,3.4897885,0.6080496394013164,0.6443511104103502
0,Mib1,-0.5131167,4.14226,0.6078696676467532,0.6443511104103502
0,Sim1,-0.513129,3.4202988,0.6078610981557226,0.6443511104103502
0,Rnf144a,-0.5131535,3.1687799,0.6078439593352808,0.6443511104103502
0,Chst8,-0.5190219,3.234149,0.6037454354765304,0.6412077561265976
0,Gm16183,-0.519071,2.2965865,0.6037112621427279,0.6412077561265976
0,Ncam2,-0.519855,,0.6031646070640762,0.6412077561265976
0,Cep95,-0.5259318,3.6617253,0.5989356024844622,0.6371584627983985
0,Emcn,-0.5266056,,0.5984674895064067,0.6370139796689515
0,Echdc2,-0.5310284,0.33877468,0.5953990956486783,0.6341000368658424
0,Dlg2,-0.53240055,1.9115659,0.5944485895847769,0.6334396588293593
0,Slc8a1,-0.53303766,3.6139054,0.5940075190716271,0.6333216985874911
0,H2-Eb1,-0.53937167,1.9390966,0.5896304271368699,0.6290047461443403
0,AW554918,-0.53937167,2.2034898,0.5896304271368699,0.6290047461443403
0,Pcdh17,-0.53984946,5.933429,0.58930084429793,0.6290047461443403
0,2610316D01Rik,-0.5465143,5.4278035,0.584712472369985,0.6248014545893319
0,Has2os,-0.5465143,,0.584712472369985,0.6248014545893319
0,Scfd2,-0.5530688,,0.5802162808180427,0.6206889566563548
0,Fry,-0.5589128,2.5212595,0.5762212423235382,0.6167594201754454
0,Atxn2,-0.55957437,3.0448112,0.5757697929577689,0.6166204989385714
0,Prdm1,-0.5598439,,0.5755859170401622,0.6166204989385714
0,Cpa6,-0.5598439,5.284857,0.5755859170401622,0.6166204989385714
0,Rab11fip3,-0.5657736,3.9273345,0.5715476822960339,0.613126416878286
0,Ncmap,-0.573002,5.1091366,0.566643342802319,0.6082056484613916
0,Tle2,-0.57910323,3.292776,0.5625195169857209,0.6041175989140767
0,Dlx6os1,-0.5791767,3.3985798,0.5624699208074353,0.6041175989140767
0,Dock4,-0.5792135,2.8977628,0.5624451235100921,0.6041175989140767
0,Cd84,-0.5797158,5.728419,0.5621062800294017,0.6041175989140767
0,Nostrin,-0.58650315,,0.557537456729714,0.6001119059802704
0,Ptpro,-0.58650315,,0.557537456729714,0.6001119059802704
0,Cog5,-0.5986566,2.8360503,0.5494018993155875,0.5920199218594611
0,Zfp560,-0.5994652,3.9962013,0.5488627062952891,0.5917715455388466
0,Mark1,-0.5998328,,0.5486177049246419,0.5917715455388466
0,Lrba,-0.5998328,5.394592,0.5486177049246419,0.5917715455388466
0,Hif1a,-0.5998328,,0.5486177049246419,0.5917715455388466
0,Cd74,-0.6054562,1.8087177,0.5448759310726328,0.588797722585252
0,1110051M20Rik,-0.6057257,2.7683244,0.5446969055951081,0.588797722585252
0,Fam13b,-0.6063628,4.2418394,0.544273870659994,0.588797722585252
0,Ica1,-0.61213326,1.9451944,0.5404496058405737,0.5850038929397965
0,Ucma,-0.6128928,4.186959,0.5399472020628855,0.5847902747765827
0,Pde10a,-0.61316234,,0.539768985954259,0.5847902747765827
0,Asph,-0.618357,1.799537,0.5363400384616621,0.5815406412505691
0,Npas3,-0.61905533,3.0089736,0.5358799087315158,0.5813705631229857
0,Sema6d,-0.6196924,,0.5354603147269694,0.5812442940722539
0,Zfp809,-0.62531585,2.5976489,0.5317637855961552,0.5775587405030196
0,Epha7,-0.62649196,,0.5309922936920227,0.5770477477367391
0,Adarb1,-0.63245845,5.0571775,0.5270873463542194,0.5731290090533401
0,Ifnar2,-0.6384984,2.7529588,0.5231492697406686,0.5691697787133153
0,Gsg1l,-0.6388415,2.0645652,0.5229260602560599,0.5691697787133153
0,Pde7b,-0.639356,,0.5225913377417932,0.5691697787133153
0,Itga4,-0.6463394,,0.5180595832426187,0.5645936447277431
