group,names,scores,logfoldchanges,pvals,pvals_adj
0,Cd209a,-0.010783666,0.0048973984,0.9913960466576822,0.9913960466576822
0,Tpsb2,-0.086508244,0.2574955,0.9310624041531093,0.9313702951597737
0,Cyp11a1,-0.09463151,0.67917436,0.92460752357438,0.9252192387735692
0,Slc6a4,-0.09856399,0.8594971,0.9214844603244626,0.9223992364267041
0,Pdss2,-0.13178672,1.1421584,0.8951529889929231,0.8963382296271408
0,Btnl9,-0.13976793,1.3179023,0.8888433557217489,0.8903149506815531
0,Il1rl1,-0.15975322,1.194001,0.8730754740450705,0.8748106356364154
0,Sox10,-0.17703937,1.4897093,0.8594774627474417,0.8614709492415544
0,Rims1,-0.18352894,1.1264439,0.8543830102703849,0.8566485270361002
0,Snap47,-0.22998264,1.5279992,0.8181052517375919,0.8205465472500714
0,Dcstamp,-0.2422644,1.9607131,0.8085752927647335,0.8112571345317807
0,Gfra3,-0.2422644,1.785816,0.8085752927647335,0.8112571345317807
0,Art3,-0.25158226,2.0840964,0.8013639666679566,0.804555592157507
0,Sema6a,-0.25275102,1.9207443,0.800460607240558,0.8039154504989005
0,Gpihbp1,-0.26090014,2.157638,0.7941695255043402,0.7978621104784553
0,Gabrg2,-0.26090014,2.4264164,0.7941695255043402,0.7978621104784553
0,Ifit1,-0.26090014,2.0007734,0.7941695255043402,0.7978621104784553
0,Col25a1,-0.26620156,2.2842076,0.7900839820325409,0.7945492173033365
0,Fgr,-0.27021798,2.00791,0.7869925528843071,0.7917035159544493
0,Plekhb2,-0.27551943,2.235241,0.7829172069923758,0.7878657854796862
0,Mt3,-0.27953586,1.785533,0.7798336279717486,0.7850238684241396
0,Adamts3,-0.28065297,1.8456022,0.7789765896349594,0.7844221649952571
0,A930015D03Rik,-0.28067878,2.1549578,0.7789567768935342,0.7844221649952571
0,Acvr1,-0.2888537,2.5489366,0.7726933253443529,0.7786133608150124
0,Cachd1,-0.29509145,2.044983,0.7679240202059328,0.7740653652525646
0,Samd12,-0.29817158,2.6501298,0.7655722148558785,0.7719519833130107
0,Col4a5,-0.30860654,2.980902,0.7576208394355615,0.7641890761228988
0,Myh11,-0.3220958,2.2432702,0.7473801083280539,0.7541110165751711
0,Clec4d,-0.32612517,2.3097436,0.7443296610666711,0.7512836919341609
